No,Kabupaten,2014,2015,2016,2017,2018,parent_province_id,parent_province_name
402,Jeneponto,16823,16834,17303,17666,27768,27,Sulawesi Selatan
403,Takalar,16262,16779,16619,16876,18633,27,Sulawesi Selatan
404,Gowa,33613,33806,33929,34093,37050,27,Sulawesi Selatan
405,Sinjai,15488,15852,15899,16067,16033,27,Sulawesi Selatan
406,Maros,26002,25927,26022,25852,26020,27,Sulawesi Selatan
407,Pangkajene Kepulauan,16682,16732,16732,16732,16797,27,Sulawesi Selatan
408,Barru,14266,14475,14694,14557,15948,27,Sulawesi Selatan
409,Bone,100631,100631,112331,112081,115079,27,Sulawesi Selatan
410,Soppeng,27981,27289,28631,28940,27286,27,Sulawesi Selatan
411,Wajo,94692,96177,99237,100068,99324,27,Sulawesi Selatan
412,Sidenreng Rappang,47089,48309,47783,48218,45653,27,Sulawesi Selatan
413,Pinrang,51018,53584,54615,55111,47056,27,Sulawesi Selatan
414,Enrekang,10815,10861,10573,11164,9836,27,Sulawesi Selatan
415,Luwu,37926,37037,38158,32623,30166,27,Sulawesi Selatan
416,Tana Toraja,10721,10761,10761,10761,14436,27,Sulawesi Selatan
417,Luwu Utara,26511,24916,25314,25387,21704,27,Sulawesi Selatan
418,Luwu Timur,22277,22854,24662,24626,17931,27,Sulawesi Selatan
419,Toraja Utara,14792,15318,15277,15199,15793,27,Sulawesi Selatan
420,Kota Makassar,2523,2636,2609,2609,2075,27,Sulawesi Selatan
421,Kota Parepare,832,819,817,703,1092,27,Sulawesi Selatan
422,Kota Palopo,235,2353,2671,2667,1666,27,Sulawesi Selatan
423,Buton,1622,1082,1519,1512,1435,28,Sulawesi Tenggara
424,Muna,2209,932,962,833,979,28,Sulawesi Tenggara
425,Konawe,29355,34040,35778,34618,26063,28,Sulawesi Tenggara
426,Kolaka,10994,10952,11904,11853,7367,28,Sulawesi Tenggara
427,Konawe Selatan,20328,21614,22005,21745,17199,28,Sulawesi Tenggara
428,Bombana,10273,11903,12865,12868,9376,28,Sulawesi Tenggara
429,Wakatobi,0,0,0,0,0,28,Sulawesi Tenggara
430,Kolaka Utara,1887,1427,1618,1717,1516,28,Sulawesi Tenggara
431,Butan Utara,1699,1732,1650,1650,451,28,Sulawesi Tenggara
432,Konawe Utara,420,2989,4297,3210,2033,28,Sulawesi Tenggara
433,Kolaka Timur,11422,13193,13660,14485,10294,28,Sulawesi Tenggara
434,Konawe Kepulauan,439,439,439,439,131,28,Sulawesi Tenggara
435,Muna Barat,0,1019,999,1379,1508,28,Sulawesi Tenggara
436,Buton Tengah,0,0,50,51,0,28,Sulawesi Tenggara
437,Buton Selatan,0,0,0,0,0,28,Sulawesi Tenggara
438,Kota Kendari,1050,1142,828,835,214,28,Sulawesi Tenggara
439,Kota Baubau,1348,1348,1280,1271,1344,28,Sulawesi Tenggara
440,Boalemo,4902,4895,5396,5396,4538,29,Gorontalo
441,Gorontalo,13849,13857,14217,14113,29067,29,Gorontalo
442,Pohuwato,3886,3900,3879,3901,3366,29,Gorontalo
443,Bone Bolango,2115,2341,2174,2174,2052,29,Gorontalo
444,Gorontalo Utara,6511,6209,6240,6254,4188,29,Gorontalo
445,Kota Gorontalo,853,852,843,843,967,29,Gorontalo
446,Majene,1152,1121,1424,1426,734,30,Sulawesi Barat
447,Polewali Mandar,17119,17578,18450,18453,15603,30,Sulawesi Barat
448,Mamasa,12876,12764,12856,12867,11868,30,Sulawesi Barat
449,Mamuju,15375,15375,15375,16375,7592,30,Sulawesi Barat
450,Mamuju Utara,5238,3325,4437,3982,2233,30,Sulawesi Barat
451,Mamuju Tengah,10552,11129,11129,11129,4186,30,Sulawesi Barat
452,Maluku Tenggara Barat,0,0,5,11,0,31,Maluku
453,Maluku Tenggara,0,0,0,0,0,31,Maluku
454,Maluku Tengah,6745,6771,6771,7215,5008,31,Maluku
455,Buru,4640,4640,4690,5438,6714,31,Maluku
456,Kepulauan Aru,0,0,0,0,0,31,Maluku
457,Seram Bagian Barat,695,544,669,671,749,31,Maluku
458,Seram Bagian Timur,1425,1425,2205,3396,1186,31,Maluku
459,Maluku Barat Daya,14,14,14,1,4,31,Maluku
460,Buru Selatan,0,0,0,0,0,31,Maluku
461,Kota Ambon,0,0,0,0,0,31,Maluku
462,Kota Tual,0,0,0,0,0,31,Maluku
463,Halmahera Barat,827,505,505,505,572,32,Maluku Utara
464,Halmahera Tengah,967,1449,1470,1470,978,32,Maluku Utara
465,Kepulauan Sula,200,200,200,200,43,32,Maluku Utara
466,Halmahera Selatan,740,840,957,126,674,32,Maluku Utara
467,Halmahera Utara,108,2024,2024,2024,1238,32,Maluku Utara
468,Halmahera Timur,5367,4921,5045,5045,4936,32,Maluku Utara
469,Pulau Morotai,645,1372,2428,2428,358,32,Maluku Utara
470,Pulau Taliabu,600,400,350,200,166,32,Maluku Utara
471,Kota Ternate,0,0,0,0,0,32,Maluku Utara
472,Kota Tidore Kepulauan,90,90,90,90,77,32,Maluku Utara
473,Fakfak,1260,1260,1260,1260,0,33,Papua Barat
474,Kaimana,27,27,3,3,0,33,Papua Barat
475,Teluk Wondama,24,24,24,24,0,33,Papua Barat
476,Teluk Bintuni,402,449,449,374,0,33,Papua Barat
477,Manokwari,3729,3908,3908,3908,3838,33,Papua Barat
478,Sorong Selatan,30,30,30,30,0,33,Papua Barat
479,Sorong,2635,2655,2655,2655,274,33,Papua Barat
480,Raja Ampat,955,955,951,1101,17,33,Papua Barat
481,Tambrauw,0,0,500,500,0,33,Papua Barat
482,Maybrat,0,0,0,0,0,33,Papua Barat
483,Manokwari Selatan,525,885,900,1485,110,33,Papua Barat
484,Pegunungan Arfak,0,0,0,0,0,33,Papua Barat
485,Kota Sorong,0,0,0,0,0,33,Papua Barat
486,Merauke,33948,35217,37910,39331,17033,34,Papua
487,Jayawijaya,498,74,74,76,295,34,Papua
488,Jayapura,1072,1122,1122,1122,924,34,Papua
489,Nabire,3623,8038,8605,8694,1168,34,Papua
490,Kepulauan Yapen,150,150,150,0,0,34,Papua
491,Biak Numfor,0,0,0,0,0,34,Papua
492,Paniai,0,0,0,0,0,34,Papua
493,Puncak Jaya,0,0,0,0,0,34,Papua
494,Mimika,444,444,444,90,281,34,Papua
495,Boven Digoel,300,310,352,352,0,34,Papua
496,Mappi,288,527,288,785,42,34,Papua
497,Asmat,47,104,207,207,0,34,Papua
498,Yahukimo,0,0,9,20,0,34,Papua
499,Pegunungan Bintang,87,87,28,5,0,34,Papua
500,Tolikara,0,0,0,0,0,34,Papua
501,Sarmi,276,286,286,286,267,34,Papua
502,Keerom,920,920,920,109,677,34,Papua
503,Waropen,450,745,745,745,102,34,Papua
504,Supiori,0,0,0,0,0,34,Papua
505,Mamberamo Raya,0,0,0,0,0,34,Papua
506,Nduga,0,0,0,0,0,34,Papua
507,Lanny Jaya,0,0,0,0,0,34,Papua
508,Mamberamo Tengah,0,0,0,0,0,34,Papua
509,Yalimo,0,0,0,0,0,34,Papua
510,Puncak,0,0,0,0,0,34,Papua
511,Dogiyai,0,0,0,0,0,34,Papua
512,lntan Jaya,0,0,0,0,0,34,Papua
513,Deiyai,0,0,0,0,0,34,Papua
514,Kota Jayapura,740,740,740,740,709,34,Papua
