No,Kabupaten,2014,2015,2016,2017,2018,parent_province_id,parent_province_name
396,Banggai Laut,0,0,0,0,15,26,Sulawesi Tengah
397,Morowali Utara,3257,76538,79391,89621,44989,26,Sulawesi Tengah
398,Kota Palu,204,3305,3244,3059,6615,26,Sulawesi Tengah
399,Kepulauan Selayar,31210,31116,33744,35820,14003,27,Sulawesi Selatan
400,Bulukumba,196101,198585,202029,214998,207136,27,Sulawesi Selatan
401,Bantaeng,68405,68199,69066,73317,95388,27,Sulawesi Selatan
402,Jeneponto,146988,146641,152645,165439,257683,27,Sulawesi Selatan
403,Takalar,142087,146162,146610,158041,172912,27,Sulawesi Selatan
404,Gowa,293688,294485,299317,319275,343819,27,Sulawesi Selatan
405,Sinjai,135324,138087,140259,150465,148784,27,Sulawesi Selatan
406,Maros,227188,225850,229562,242099,241462,27,Sulawesi Selatan
407,Pangkajene Kepulauan,145756,145753,147607,156692,155874,27,Sulawesi Selatan
408,Barru,124647,126092,129628,136324,147995,27,Sulawesi Selatan
409,Bone,879247,876598,990968,1049618,1067918,27,Sulawesi Selatan
410,Soppeng,244479,237715,252579,271018,253210,27,Sulawesi Selatan
411,Wajo,827356,837799,875455,937119,921713,27,Sulawesi Selatan
412,Sidenreng Rappang,411433,420820,421535,451553,423654,27,Sulawesi Selatan
413,Pinrang,445762,466771,481806,516105,436673,27,Sulawesi Selatan
414,Enrekang,94494,94610,93274,104549,91277,27,Sulawesi Selatan
415,Luwu,331372,322630,336625,305508,279936,27,Sulawesi Selatan
416,Tana Toraja,93673,93739,94932,100775,133964,27,Sulawesi Selatan
417,Luwu Utara,231636,217044,223317,237745,201410,27,Sulawesi Selatan
418,Luwu Timur,194642,199082,217565,230618,166397,27,Sulawesi Selatan
419,Toraja Utara,129243,133435,134772,142336,146557,27,Sulawesi Selatan
420,Kota Makassar,22044,22962,23016,24433,19256,27,Sulawesi Selatan
421,Kota Parepare,7269,7134,7207,6583,10134,27,Sulawesi Selatan
422,Kota Palopo,2053,20497,23563,24976,15460,27,Sulawesi Selatan
423,Buton,11464,6886,9615,9917,9677,28,Sulawesi Tenggara
424,Muna,15612,5932,6089,5463,6602,28,Sulawesi Tenggara
425,Konawe,207471,216650,226459,227051,175757,28,Sulawesi Tenggara
426,Kolaka,77702,69705,75347,77741,49680,28,Sulawesi Tenggara
427,Konawe Selatan,143671,137564,139282,142620,115982,28,Sulawesi Tenggara
428,Bombana,72606,75758,81430,84398,63227,28,Sulawesi Tenggara
429,Wakatobi,0,0,0,0,0,28,Sulawesi Tenggara
430,Kolaka Utara,13337,9082,10241,11261,10223,28,Sulawesi Tenggara
431,Butan Utara,12008,11023,10444,10822,3041,28,Sulawesi Tenggara
432,Konawe Utara,2968,19024,27198,21054,13710,28,Sulawesi Tenggara
433,Kolaka Timur,80727,83968,86462,95003,69418,28,Sulawesi Tenggara
434,Konawe Kepulauan,3103,2794,2779,2879,883,28,Sulawesi Tenggara
435,Muna Barat,0,6486,6323,9045,10169,28,Sulawesi Tenggara
436,Buton Tengah,0,0,316,334,0,28,Sulawesi Tenggara
437,Buton Selatan,0,0,0,0,0,28,Sulawesi Tenggara
438,Kota Kendari,7421,7268,5241,5477,1443,28,Sulawesi Tenggara
439,Kota Baubau,9527,8579,8102,8336,9063,28,Sulawesi Tenggara
440,Boalemo,48035,50581,56824,57821,27687,29,Gorontalo
441,Gorontalo,135706,143187,149715,151228,177345,29,Gorontalo
442,Pohuwato,38079,40299,40848,41801,20537,29,Gorontalo
443,Bone Bolango,20725,24190,22894,23295,12520,29,Gorontalo
444,Gorontalo Utara,63801,64159,65711,67015,25552,29,Gorontalo
445,Kota Gorontalo,8359,8804,8877,9033,5900,29,Gorontalo
446,Majene,8312,8447,12268,14810,5503,30,Sulawesi Barat
447,Polewali Mandar,123525,132453,158950,191649,116970,30,Sulawesi Barat
448,Mamasa,92909,96179,110757,133634,88970,30,Sulawesi Barat
449,Mamuju,110940,115853,132458,170067,56915,30,Sulawesi Barat
450,Mamuju Utara,37796,25054,38225,41356,16740,30,Sulawesi Barat
451,Mamuju Tengah,76139,83859,95878,115583,31381,30,Sulawesi Barat
452,Maluku Tenggara Barat,0,0,35,69,0,31,Maluku
453,Maluku Tenggara,0,0,0,0,0,31,Maluku
454,Maluku Tengah,51270,59546,46741,45155,42608,31,Maluku
455,Buru,35270,40806,32376,34033,57123,31,Maluku
456,Kepulauan Aru,0,0,0,0,0,31,Maluku
457,Seram Bagian Barat,5283,4784,4618,4199,6373,31,Maluku
458,Seram Bagian Timur,10832,12532,15221,21254,10091,31,Maluku
459,Maluku Barat Daya,106,123,97,6,34,31,Maluku
460,Buru Selatan,0,0,0,0,0,31,Maluku
461,Kota Ambon,0,0,0,0,0,31,Maluku
462,Kota Tual,0,0,0,0,0,31,Maluku
463,Halmahera Barat,6245,3221,3177,3511,3103,32,Maluku Utara
464,Halmahera Tengah,7303,9242,9247,10220,5305,32,Maluku Utara
465,Kepulauan Sula,1510,1276,1258,1390,233,32,Maluku Utara
466,Halmahera Selatan,5588,5357,6020,876,3656,32,Maluku Utara
467,Halmahera Utara,816,12909,12732,14071,6715,32,Maluku Utara
468,Halmahera Timur,40530,31385,31737,35073,26775,32,Maluku Utara
469,Pulau Morotai,4871,8750,15274,16880,1942,32,Maluku Utara
470,Pulau Taliabu,4531,2551,2202,1390,900,32,Maluku Utara
471,Kota Ternate,0,0,0,0,0,32,Maluku Utara
472,Kota Tidore Kepulauan,680,574,566,626,418,32,Maluku Utara
473,Fakfak,3636,3735,3284,3280,0,33,Papua Barat
474,Kaimana,78,80,8,8,0,33,Papua Barat
475,Teluk Wondama,69,71,63,62,0,33,Papua Barat
476,Teluk Bintuni,1160,1331,1170,973,0,33,Papua Barat
477,Manokwari,10761,11586,10187,10172,22605,33,Papua Barat
478,Sorong Selatan,87,89,78,78,0,33,Papua Barat
479,Sorong,7604,7871,6921,6910,1614,33,Papua Barat
480,Raja Ampat,2756,2831,2479,2866,100,33,Papua Barat
481,Tambrauw,0,0,1303,1301,0,33,Papua Barat
482,Maybrat,0,0,0,0,0,33,Papua Barat
483,Manokwari Selatan,1515,2624,2346,3865,648,33,Papua Barat
484,Pegunungan Arfak,0,0,0,0,0,33,Papua Barat
485,Kota Sorong,0,0,0,0,0,33,Papua Barat
486,Merauke,155319,131272,170697,192972,176779,34,Papua
487,Jayawijaya,2278,276,333,373,3062,34,Papua
488,Jayapura,4905,4182,5052,5505,9590,34,Papua
489,Nabire,16576,29962,38746,42656,12122,34,Papua
490,Kepulauan Yapen,686,559,675,0,0,34,Papua
491,Biak Numfor,0,0,0,0,0,34,Papua
492,Paniai,0,0,0,0,0,34,Papua
493,Puncak Jaya,0,0,0,0,0,34,Papua
494,Mimika,2031,1655,1999,442,2916,34,Papua
495,Boven Digoel,1373,1156,1585,1727,0,34,Papua
496,Mappi,1318,1964,1297,3851,436,34,Papua
497,Asmat,215,388,932,1016,0,34,Papua
498,Yahukimo,0,0,41,98,0,34,Papua
499,Pegunungan Bintang,398,324,126,25,0,34,Papua
500,Tolikara,0,0,0,0,0,34,Papua
501,Sarmi,1263,1066,1288,1403,2771,34,Papua
502,Keerom,4209,3429,4142,535,7026,34,Papua
503,Waropen,2059,2777,3354,3655,1059,34,Papua
504,Supiori,0,0,0,0,0,34,Papua
505,Mamberamo Raya,0,0,0,0,0,34,Papua
506,Nduga,0,0,0,0,0,34,Papua
507,Lanny Jaya,0,0,0,0,0,34,Papua
508,Mamberamo Tengah,0,0,0,0,0,34,Papua
509,Yalimo,0,0,0,0,0,34,Papua
510,Puncak,0,0,0,0,0,34,Papua
511,Dogiyai,0,0,0,0,0,34,Papua
512,lntan Jaya,0,0,0,0,0,34,Papua
513,Deiyai,0,0,0,0,0,34,Papua
514,Kota Jayapura,3386,2758,3332,3631,7358,34,Papua
